response set access code,question.text,question.short_text,question.help_text,question.pick,question.reference_identifier,question.data_export_identifier,question.common_namespace,question.common_identifier,question.display_order,question.display_type,question.is_mandatory,question.display_width,question.custom_class,question.custom_renderer,answer.text,answer.short_text,answer.help_text,answer.weight,answer.response_class,answer.reference_identifier,answer.data_export_identifier,answer.common_namespace,answer.common_identifier,answer.display_order,answer.is_exclusive,answer.display_length,answer.custom_class,answer.custom_renderer,answer.default_value,answer.display_type,answer.input_mask,answer.input_mask_placeholder,response.datetime_value,response.integer_value,response.float_value,response.unit,response.text_value,response.string_value,response.response_other,response.response_group,response.created_at,response.updated_at
Z88VRqyVvg,How old are you?,,,one,,"",,,0,dropdown,false,,,,18,,,,answer,,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 18:15:51 UTC,2013-09-26 18:15:51 UTC
Z88VRqyVvg,How do you identify yourself? (Choose only one),,,one,,"",,,1,default,false,,,,African American,,,,answer,,"",,,0,false,,,,,default,,,,,,,,"",,,2013-09-26 18:15:52 UTC,2013-09-26 18:15:52 UTC
Z88VRqyVvg,Do you collect Social Security Disability Insurance (SSDI) or Supplemental Security Income (SSI)? (Choose only one),,,one,4,"",,,3,default,false,,,,SSDI,,,,answer,,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 18:15:54 UTC,2013-09-26 18:15:54 UTC
Z88VRqyVvg,Work Status: (Choose only one),,,one,,"",,,2,default,false,,,,Part-time (work between 1-34 hours per week),,,,answer,,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 18:15:55 UTC,2013-09-26 18:15:55 UTC
Z88VRqyVvg,Are you ___________? (Choose only one),,,one,7,"",,,0,default,false,,,,Deaf,,,,answer,1,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 18:16:03 UTC,2013-10-17 15:29:24 UTC
Z88VRqyVvg,"If deaf, how old were you when you became deaf? (Choose only one)",,,one,8,"",,,1,default,false,,,,Deaf from birth,,,,answer,,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 18:16:04 UTC,2013-09-26 18:16:04 UTC
Z88VRqyVvg,Which languages do you use? (Check all that apply),,,one,10,"",,,7,default,false,,,,Signed English,,,,answer,,"",,,1,false,,,,,default,,,,,,,,"",,,2013-09-26 18:16:07 UTC,2013-09-26 18:16:07 UTC
Z88VRqyVvg,What is your father’s highest educational level? (Choose only one),,,one,24,"",,,28,default,false,,,,BA/BS Degree,,,,answer,,"",,,6,false,,,,,default,,,,,,,,,,,2013-09-26 18:16:10 UTC,2013-09-26 18:16:10 UTC
Z88VRqyVvg,Have you ever had vaginal sex?,,,one,26a,"",,,1,default,false,,,,Yes,,,,answer,y,"",,,0,false,,,,,default,,,,,,,,,,,2013-09-26 18:16:15 UTC,2013-10-17 15:29:54 UTC
Z88VRqyVvg,Have you ever had oral sex?,,,one,26b,"",,,6,default,false,,,,No,,,,answer,n,"",,,1,false,,,,,default,,,,,,,,,,,2013-09-26 18:16:16 UTC,2013-09-26 19:53:45 UTC
